CodeInsee;Gagnant
1016;LE PEN
52015;LE PEN
73018;LE PEN
33008;MACRON
32004;MACRON
32005;FILLON
39013;MÉLENCHON
31012;MÉLENCHON
64035;FILLON
77006;FILLON
34011;MÉLENCHON
52016;LE PEN
25020;LE PEN
40005;FILLON
64036;MACRON
58009;MACRON
66007;MÉLENCHON
1015;MACRON
35005;LE PEN
64037;MACRON
74015;LE PEN
33009;FILLON
79010;MÉLENCHON
46007;MACRON
64038;FILLON
18008;LE PEN
86008;LE PEN
21016;FILLON
21017;MACRON
52017;LE PEN
7012;MÉLENCHON
17015;LE PEN
89014;LE PEN
25021;LE PEN
21018;LE PEN
25022;LE PEN
4009;MACRON
74016;FILLON
39014;LE PEN
15010;MACRON
88011;LE PEN
88012;LE PEN
17016;LE PEN
24012;MACRON
3005;LE PEN
86009;LE PEN
17017;LE PEN
2021;LE PEN
42007;FILLON
33010;LE PEN
51014;FILLON
10006;LE PEN
65019;MACRON
65020;MACRON
65021;MACRON
65022;MACRON
70026;LE PEN
18009;LE PEN
42008;LE PEN
25024;FILLON
21020;FILLON
72006;FILLON
63008;FILLON
10007;LE PEN
25025;FILLON
25026;MACRON
21021;MACRON
94003;MÉLENCHON
2022;LE PEN
89015;LE PEN
28008;LE PEN
28009;FILLON
18010;LE PEN
72007;LE PEN
65023;MÉLENCHON
36005;LE PEN
63009;MÉLENCHON
8018;LE PEN
31013;MACRON
79011;MÉLENCHON
17018;LE PEN
79012;MACRON
32007;LE PEN
7013;LE PEN
39015;MACRON
45006;FILLON
76024;LE PEN
62038;LE PEN
41003;FILLON
76401;LE PEN
64039;MACRON
40006;MÉLENCHON
74018;FILLON
33011;MACRON
39586;FILLON
64041;MACRON
64040;LASSALLE
23005;MACRON
3006;LE PEN
81016;MACRON
64042;MACRON
14019;MACRON
10008;LE PEN
57028;MACRON
9014;MACRON
65024;MACRON
65025;MACRON
66008;LE PEN
11012;LE PEN
34012;LE PEN
40007;LE PEN
64043;LE PEN
40008;MACRON
14020;LE PEN
12223;FILLON
11013;LE PEN
61006;MACRON
19010;MACRON
89016;LE PEN
95018;MÉLENCHON
89017;FILLON
77007;LE PEN
73019;LE PEN
47013;LE PEN
79014;LE PEN
79013;FILLON
53006;LE PEN
36006;MACRON
53007;MACRON
35006;MACRON
18011;LE PEN
18012;LE PEN
28010;LE PEN
51015;LE PEN
64044;LASSALLE
90004;LE PEN
70027;LE PEN
30013;LE PEN
21022;LE PEN
1017;LE PEN
80024;LE PEN
29001;LE PEN
74019;MACRON
80025;FILLON
76025;LE PEN
25027;MACRON
80026;MACRON
31014;MACRON
31015;MÉLENCHON
36007;LE PEN
