codegeo;libgeo;Gagnant;pop1-0;nb_ecoles_publique1-0;nb_ecoles_publique/pop1-0;nb_ecoles_prive1-0;nb/ecoles_prive/pop1-0;nb_ecoles_totale1-0;nb_ecoles_totale/pop1-0;Part de la population éloignée de plus de 20 minutes d'au moins un des services de santé de proximité 2021  1-0;somme_tauxpourmille_crime 1-0;Taux_Chomage 1-0;Points;Points 0-1
22079;Hénon;MACRON;0,000566511;0;0,021899161;0;0;0,003558719;0,015926662;0;0,00494731;0,172737955;0,216077599;0,079881866
22081;Hillion;MACRON;0,000983464;0;0,012618987;0;0;0,003558719;0,009177445;0;0,004946171;0,090481786;0,118207853;0,043700337
22082;Le Hinglé;MACRON;0,000192614;0;0,064309473;0;0;0,003558719;0,046770525;0,187;0,004940986;0,078730905;0,381944503;0,141201308
22083;Illifaut;MACRON;0,001259015;0;0,009858171;0,018518519;0,026288457;0,007117438;0,014339139;0,004;0,004938292;0,074030552;0,161002083;0,059520963
22084;Jugon-les-Lacs;MACRON;0,001060509;0;0,011702623;0;0;0,003558719;0,008510999;0;0,004935728;0,111633373;0,137843232;0,050959353
22085;Kerbors;MACRON;0,000992528;0;0,012503815;0,018518519;0,033343505;0,007117438;0,018187347;0;0,004933977;0,10693302;0,210237697;0,077722909
22086;Kerfot;MACRON;0,000528895;0;0,023455326;0;0;0,003558719;0,017058419;0;0,004933345;0,123384254;0,169360239;0,062610895
22087;Kergrist-Moëlou;MÉLENCHON;0,000471791;0;0,02629159;0;0;0,003558719;0,019121156;0;0,00493296;0,139835488;0,190652985;0,070482624
22088;Kerien;MACRON;0,000205304;0;0,060343241;0;0;0,003558719;0,043885993;0;0,004929957;0,0693302;0,178694695;0,066061756
22090;Kermaria-Sulard;MACRON;0,000410607;0;0;0;0;0;0;0,1;0,004929957;0,141010576;0,24635114;0,091073711
22091;Kermoroc'h;MÉLENCHON;0,000367099;0;0,033780323;0;0;0,003558719;0,024567507;0,009;0,004927377;0,151586369;0,224228675;0,082895243
22092;Kerpert;MACRON;0,000832092;0;0,01491336;0;0;0,003558719;0,01084608;0;0,004927136;0,158636898;0,190155566;0,070298733
22093;Lamballe-Armor;MACRON;0,000331749;0;0,03737493;0;0;0,003558719;0,027181767;0,705;0,004921717;0,123384254;0,898194417;0,33205407
22094;Lancieux;FILLON;0,000317246;0;0,039081088;0;0;0,003558719;0,028422609;0;0,004921717;0,16333725;0,23607991;0,087276533
22095;Landebaëron;MACRON;0,001260375;0,01;0,019695056;0;0;0,007117438;0,014323677;0;0,004918739;0,132784959;0,172982806;0,063950125
22096;Landébia;LE PEN;0,000618177;0;0,020070215;0;0;0,003558719;0,01459652;0;0,004915328;0,21386604;0,25406628;0,093925926
22097;La Landec;MACRON;0,000565152;0;0,021951788;0;0;0,003558719;0,015964937;0;0,004912537;0,222091657;0,265486071;0,098147716
22098;Landéhen;MACRON;0,000859284;0;0,014441659;0;0;0,003558719;0,010503025;0;0,004911123;0,104582844;0,135297935;0,05001838
22099;Lanfains;MACRON;0,00094766;0;0,01309551;0;0;0,003558719;0,009524007;0;0,004908612;0,123384254;0,151860043;0,056141237
22101;Langoat;MACRON;0,000264221;0;0;0;0;0;0;0,127;0,004897274;0,156286722;0,288448217;0,106636606
22103;Langrolay-sur-Rance;MACRON;0,001558133;0,01;0,01593243;0;0;0,007117438;0,011587222;0,02;0,004893356;0,12573443;0,179705571;0,066435468
22104;Languédias;MÉLENCHON;0,001361893;0,01;0,018227434;0;0;0,007117438;0,013256316;0;0,004892851;0,0693302;0,107068694;0,039582294
22105;Languenan;LE PEN;0,000283709;0;0,043693505;0;0;0,003558719;0,031777095;0;0,004892514;0,148061105;0,228707928;0,084551181
22106;Langueux;MACRON;0,00083753;0;0,014816571;0;0;0,003558719;0,010775688;0;0,004889935;0,170387779;0,201707503;0,074569376
22107;Bon Repos sur Blavet;MACRON;0,00063132;0;0,019652675;0;0;0,003558719;0,014292855;0;0,00488093;0,064629847;0,104087627;0,038480222
22108;Lanleff;MÉLENCHON;0,000639478;0;0,01940214;0;0;0,003558719;0,014110647;0;0,004880188;0,121034078;0,160066531;0,059175099
22109;Lanloup;FILLON;0,000211195;0;0;0;0;0;0;0;0,004875542;0,118683901;0,123770638;0,045756847
22110;Lanmérin;MÉLENCHON;0,000328123;0;0;0,018518519;0,100766258;0,003558719;0,027481707;0;0,004874197;0,08813161;0,322348153;0,119169096
22111;Lanmodez;MACRON;0,000580108;0;0,021386283;0;0;0,003558719;0,015553661;0;0,0048694;0,240893067;0,283282519;0,104726896
22112;Lannebert;MACRON;0,001025159;0;0,012105972;0;0;0,003558719;0,008804343;0,004;0,004864448;0,110458284;0,141258206;0,052221837
