codegeo;libgeo;nb_ecoles_publique;nb_ecoles_prive;nb_ecoles_totale;Part de la population éloignée de plus de 20 minutes d'au moins un des services de santé de proximité 2021;somme_tauxpourmille;Gagnant
89227;Ligny-le-Châtel;1.0;0.0;1.0;0;0.0;LE PEN
89228;Lindry;1.0;0.0;1.0;0;0.0;LE PEN
89229;Lixy;1.0;0.0;1.0;0;0.0;LE PEN
89230;Looze;0.0;0.0;0.0;0;0.0;LE PEN
89232;Lucy-le-Bois;0.0;0.0;0.0;0;0.0;LE PEN
89233;Lucy-sur-Cure;0.0;0.0;0.0;35,4;0.0;MACRON
89234;Lucy-sur-Yonne;0.0;0.0;0.0;0;0.0;MACRON
89235;Magny;1.0;0.0;1.0;0;0.0;FILLON
89236;Maillot;1.0;0.0;1.0;0;9.12106135986733;LE PEN
89237;Mailly-la-Ville;1.0;0.0;1.0;17,8;0.0;LE PEN
89238;Mailly-le-Château;0.0;0.0;0.0;0;0.0;LE PEN
89239;Malay-le-Grand;1.0;0.0;1.0;0;10.31949330988347;LE PEN
89240;Malay-le-Petit;0.0;0.0;0.0;0;0.0;LE PEN
89242;Maligny;1.0;0.0;1.0;0;0.0;LE PEN
89244;Marmeaux;0.0;0.0;0.0;0;0.0;LE PEN
89245;Marsangy;1.0;0.0;1.0;0;0.0;LE PEN
89246;Massangis;0.0;0.0;0.0;0;0.0;LE PEN
89247;Mélisey;0.0;0.0;0.0;0;0.0;LE PEN
89248;Menades;0.0;0.0;0.0;0;0.0;LE PEN
89249;Mercy;0.0;0.0;0.0;0;0.0;LE PEN
89250;Méré;0.0;0.0;0.0;0;0.0;LE PEN
89251;Merry-la-Vallée;1.0;0.0;1.0;0;0.0;LE PEN
89252;Merry-Sec;0.0;0.0;0.0;0;0.0;LE PEN
89253;Merry-sur-Yonne;0.0;0.0;0.0;14,2;0.0;FILLON
89254;Mézilles;0.0;0.0;0.0;0;0.0;FILLON
89255;Michery;1.0;0.0;1.0;0;8.712487899322364;LE PEN
89256;Migé;1.0;0.0;1.0;0;0.0;FILLON
89257;Migennes;3.0;0.0;3.0;0;135.85904575180976;LE PEN
89259;Môlay;0.0;0.0;0.0;0;0.0;MACRON
89261;Molinons;0.0;0.0;0.0;0;0.0;LE PEN
89262;Molosmes;0.0;0.0;0.0;0;0.0;LE PEN
89263;Monéteau;2.0;0.0;2.0;0;66.80826018871282;LE PEN
89264;Montacher-Villegardin;1.0;0.0;1.0;0;0.0;LE PEN
89265;Montigny-la-Resle;1.0;0.0;1.0;0;0.0;LE PEN
89266;Montillot;1.0;0.0;1.0;0;0.0;LE PEN
89267;Montréal;1.0;0.0;1.0;0;0.0;MÉLENCHON
89268;Mont-Saint-Sulpice;1.0;0.0;1.0;0;0.0;LE PEN
89270;Mouffy;0.0;0.0;0.0;0;0.0;LE PEN
89271;Moulins-en-Tonnerrois;0.0;0.0;0.0;2;0.0;FILLON
89272;Moulins-sur-Ouanne;1.0;0.0;1.0;0;0.0;LE PEN
89273;Moutiers-en-Puisaye;0.0;0.0;0.0;0;0.0;LE PEN
89274;Nailly;1.0;0.0;1.0;0;0.0;LE PEN
89276;Neuvy-Sautour;1.0;0.0;1.0;0;0.0;LE PEN
89277;Nitry;1.0;0.0;1.0;0;0.0;LE PEN
89278;Noé;1.0;0.0;1.0;0;0.0;LE PEN
89279;Noyers;1.0;0.0;1.0;9,7;0.0;FILLON
89280;Nuits;1.0;0.0;1.0;0;0.0;LE PEN
89281;Les Ormes;1.0;0.0;1.0;0;0.0;LE PEN
89282;Ormoy;1.0;0.0;1.0;0;0.0;LE PEN
89283;Ouanne;1.0;0.0;1.0;0;0.0;FILLON
89284;Pacy-sur-Armançon;0.0;0.0;0.0;0,5;0.0;LE PEN
89285;Pailly;0.0;0.0;0.0;0;0.0;LE PEN
89286;Parly;1.0;0.0;1.0;0;0.0;LE PEN
89287;Paron;3.0;0.0;3.0;0,1;54.78562416496861;LE PEN
89288;Paroy-en-Othe;0.0;0.0;0.0;0;0.0;LE PEN
89289;Paroy-sur-Tholon;1.0;0.0;1.0;0;0.0;LE PEN
89290;Pasilly;0.0;0.0;0.0;0;0.0;LE PEN
89291;Passy;0.0;0.0;0.0;0;0.0;LE PEN
89292;Percey;1.0;0.0;1.0;0;0.0;LE PEN
89295;Perrigny;1.0;0.0;1.0;0;13.339805609388256;MACRON
89296;Perrigny-sur-Armançon;0.0;0.0;0.0;0;0.0;MÉLENCHON
89297;Pierre-Perthuis;0.0;0.0;0.0;0;0.0;LE PEN
89298;Piffonds;1.0;0.0;1.0;2,5;0.0;LE PEN
89299;Pimelles;0.0;0.0;0.0;0;0.0;LE PEN
89300;Pisy;0.0;0.0;0.0;0;0.0;LE PEN
89302;Plessis-Saint-Jean;0.0;0.0;0.0;0;0.0;LE PEN
89303;Poilly-sur-Serein;0.0;0.0;0.0;0;0.0;LE PEN
89304;Poilly-sur-Tholon;1.0;0.0;1.0;0;0.0;MACRON
89306;Pontaubert;0.0;0.0;0.0;0;0.0;LE PEN
89307;Pontigny;1.0;0.0;1.0;0;0.0;LE PEN
89308;Pont-sur-Vanne;0.0;0.0;0.0;0;0.0;LE PEN
89309;Pont-sur-Yonne;1.0;0.0;1.0;0;100.44326697751126;LE PEN
89310;La Postolle;0.0;0.0;0.0;0;0.0;LE PEN
89311;Pourrain;1.0;0.0;1.0;0;0.0;LE PEN
89312;Précy-le-Sec;1.0;0.0;1.0;0;0.0;LE PEN
89313;Précy-sur-Vrin;1.0;0.0;1.0;17,2;50.394712685882126;LE PEN
89314;Prégilbert;0.0;0.0;0.0;0;0.0;LE PEN
89315;Préhy;0.0;0.0;0.0;0;0.0;LE PEN
89316;Provency;0.0;0.0;0.0;1,3;0.0;LE PEN
89318;Quarré-les-Tombes;1.0;0.0;1.0;100;0.0;FILLON
89319;Quenne;0.0;0.0;0.0;0;0.0;LE PEN
89320;Quincerot;0.0;0.0;0.0;100;0.0;FILLON
89321;Ravières;1.0;0.0;1.0;0;0.0;LE PEN
89323;Roffey;0.0;0.0;0.0;0;0.0;LE PEN
89324;Rogny-les-Sept-Écluses;1.0;0.0;1.0;2,4;0.0;LE PEN
89325;Ronchères;0.0;0.0;0.0;0;0.0;LE PEN
89326;Rosoy;1.0;0.0;1.0;0;0.0;LE PEN
89327;Rousson;0.0;0.0;0.0;0;0.0;LE PEN
